Testing v8 version different from logging version
Statistical profiling result from isolate-0x562c3ce11fc0-52-v8.log, (106201 ticks, 56096 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *onWriteComplete internal/stream_base_commons.js:82:25
      1    0.0%    0.0%  LazyCompile: *mixedAdd /app/node_modules/elliptic/lib/elliptic/curve/short.js:569:46
      1    0.0%    0.0%  LazyCompile: *listenerCount events.js:581:23
      1    0.0%    0.0%  LazyCompile: *iushln /app/node_modules/bn.js/lib/bn.js:1952:41
      1    0.0%    0.0%  LazyCompile: *inRange /app/node_modules/busboy/deps/encoding/encoding.js:50:17
      1    0.0%    0.0%  LazyCompile: *handle /app/node_modules/express/lib/router/index.js:136:31
      1    0.0%    0.0%  LazyCompile: *getEncodingOps buffer.js:676:24
      1    0.0%    0.0%  LazyCompile: *find /app/node_modules/node-fetch/lib/index.js:689:14
      1    0.0%    0.0%  LazyCompile: *divmod /app/node_modules/bn.js/lib/bn.js:2328:41
      1    0.0%    0.0%  LazyCompile: *connectionListenerInternal _http_server.js:401:36
      1    0.0%    0.0%  LazyCompile: *clone /app/node_modules/merge-options/index.js:42:15
      1    0.0%    0.0%  LazyCompile: *clone /app/node_modules/bn.js/lib/bn.js:319:39
      1    0.0%    0.0%  LazyCompile: *assert /app/node_modules/bn.js/lib/bn.js:5:19
      1    0.0%    0.0%  LazyCompile: *appendField /app/node_modules/append-field/index.js:4:22
      1    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:480:20
      1    0.0%    0.0%  LazyCompile: *adjustOffset buffer.js:1087:22
      1    0.0%    0.0%  LazyCompile: *_parseHex /app/node_modules/bn.js/lib/bn.js:210:47
      1    0.0%    0.0%  LazyCompile: *_initArray /app/node_modules/bn.js/lib/bn.js:143:49
      1    0.0%    0.0%  LazyCompile: *_addHeaderLines _http_incoming.js:122:25
      1    0.0%    0.0%  LazyCompile: *WritableState _stream_writable.js:68:23
      1    0.0%    0.0%  LazyCompile: *Writable.uncork _stream_writable.js:328:37
      1    0.0%    0.0%  LazyCompile: *Transform._write _stream_transform.js:169:38
      1    0.0%    0.0%  LazyCompile: *Transform._read _stream_transform.js:186:37
      1    0.0%    0.0%  LazyCompile: *Socket._writeGeneric net.js:761:42
      1    0.0%    0.0%  LazyCompile: *SBMH.push /app/node_modules/streamsearch/lib/sbmh.js:49:31
      1    0.0%    0.0%  LazyCompile: *Point /app/node_modules/elliptic/lib/elliptic/curve/short.js:251:15
